salary_id,employee_id,salary,bonus,deduction,effective_date
1,1,60000,5000,1000,2023-05-01
2,2,75000,7000,1200,2023-06-01
3,3,58000,4500,800,2023-07-01
4,4,65000,6000,1000,2023-08-01
5,5,72000,6500,1100,2023-09-01
6,6,67000,5500,900,2023-10-01
7,7,71000,7000,1300,2023-11-01
8,8,79000,8000,1400,2023-12-01
9,9,62000,5000,1000,2024-01-01
10,10,64000,6000,950,2024-02-01
11,11,63000,4500,800,2024-03-01
12,12,68000,7000,1200,2024-04-01
13,13,69000,7500,1100,2024-05-01
14,14,71000,7800,1300,2024-06-01
15,15,76000,8500,1400,2024-07-01
16,16,74000,7000,1250,2024-08-01
17,17,69000,5500,1000,2024-09-01
18,18,70000,6000,1100,2024-10-01
19,19,66000,4800,900,2024-11-01
20,20,73000,6800,1200,2024-12-01
21,21,68000,6500,1100,2024-01-01
22,22,72000,7000,1300,2024-02-01
23,23,76000,7500,1400,2024-03-01
24,24,71000,6900,1100,2024-04-01
25,25,69000,6400,1000,2024-05-01
26,26,70000,6200,1100,2024-06-01
27,27,72000,6500,1200,2024-07-01
28,28,73000,7000,1300,2024-08-01
29,29,71000,6800,1150,2024-09-01
30,30,76000,8000,1400,2024-10-01
